episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
248,94247,black,0-1,1.0,1.0,32,checkmate,False
249,94248,white,1-0,1.0,1.0,113,checkmate,False
250,94249,black,1/2-1/2,0.0,0.5,196,threefold_repetition,False
251,94250,white,1-0,1.0,1.0,85,checkmate,False
252,94251,black,1/2-1/2,0.0,0.5,159,threefold_repetition,False
253,94252,white,1-0,1.0,1.0,59,checkmate,False
254,94253,black,1/2-1/2,0.0,0.5,189,insufficient_material,False
255,94254,white,0-1,-1.0,0.0,154,checkmate,False
256,94255,black,1/2-1/2,0.0,0.5,200,max_plies,False
257,94256,white,1/2-1/2,0.0,0.5,191,stalemate,False
258,94257,black,1/2-1/2,0.0,0.5,122,threefold_repetition,False
259,94258,white,1/2-1/2,0.0,0.5,200,max_plies,False
260,94259,black,1/2-1/2,0.0,0.5,106,threefold_repetition,False
261,94260,white,1-0,1.0,1.0,37,checkmate,False
262,94261,black,0-1,1.0,1.0,4,checkmate,False
263,94262,white,1-0,1.0,1.0,97,checkmate,False
264,94263,black,1/2-1/2,0.0,0.5,121,threefold_repetition,False
265,94264,white,1/2-1/2,0.0,0.5,180,insufficient_material,False
266,94265,black,1/2-1/2,0.0,0.5,56,threefold_repetition,False
267,94266,white,1-0,1.0,1.0,157,checkmate,False
268,94267,black,0-1,1.0,1.0,178,checkmate,False
269,94268,white,1-0,1.0,1.0,113,checkmate,False
270,94269,black,1-0,-1.0,0.0,31,checkmate,False
271,94270,white,1-0,1.0,1.0,131,checkmate,False
272,94271,black,1/2-1/2,0.0,0.5,67,threefold_repetition,False
273,94272,white,1/2-1/2,0.0,0.5,136,threefold_repetition,False
274,94273,black,1/2-1/2,0.0,0.5,77,threefold_repetition,False
275,94274,white,1/2-1/2,0.0,0.5,178,threefold_repetition,False
276,94275,black,0-1,1.0,1.0,48,checkmate,False
277,94276,white,1-0,1.0,1.0,19,checkmate,False
278,94277,black,1/2-1/2,0.0,0.5,108,threefold_repetition,False
279,94278,white,0-1,-1.0,0.0,186,checkmate,False
280,94279,black,1/2-1/2,0.0,0.5,116,stalemate,False
281,94280,white,1-0,1.0,1.0,77,checkmate,False
282,94281,black,1/2-1/2,0.0,0.5,200,max_plies,False
283,94282,white,1-0,1.0,1.0,83,checkmate,False
284,94283,black,1/2-1/2,0.0,0.5,183,threefold_repetition,False
285,94284,white,1-0,1.0,1.0,111,checkmate,False
286,94285,black,1/2-1/2,0.0,0.5,200,max_plies,False
287,94286,white,1/2-1/2,0.0,0.5,24,threefold_repetition,False
288,94287,black,1/2-1/2,0.0,0.5,156,threefold_repetition,False
289,94288,white,1/2-1/2,0.0,0.5,200,max_plies,False
290,94289,black,0-1,1.0,1.0,22,checkmate,False
291,94290,white,1/2-1/2,0.0,0.5,87,threefold_repetition,False
292,94291,black,1/2-1/2,0.0,0.5,198,threefold_repetition,False
293,94292,white,1-0,1.0,1.0,11,checkmate,False
294,94293,black,0-1,1.0,1.0,42,checkmate,False
295,94294,white,1/2-1/2,0.0,0.5,171,threefold_repetition,False
296,94295,black,0-1,1.0,1.0,156,checkmate,False
297,94296,white,1-0,1.0,1.0,81,checkmate,False
298,94297,black,0-1,1.0,1.0,68,checkmate,False
299,94298,white,1/2-1/2,0.0,0.5,73,threefold_repetition,False
300,94299,black,0-1,1.0,1.0,76,checkmate,False
301,94300,white,1/2-1/2,0.0,0.5,118,threefold_repetition,False
302,94301,black,1/2-1/2,0.0,0.5,92,threefold_repetition,False
303,94302,white,1/2-1/2,0.0,0.5,200,max_plies,False
304,94303,black,1/2-1/2,0.0,0.5,84,threefold_repetition,False
305,94304,white,1/2-1/2,0.0,0.5,78,threefold_repetition,False
306,94305,black,1/2-1/2,0.0,0.5,193,threefold_repetition,False
307,94306,white,1-0,1.0,1.0,93,checkmate,False
308,94307,black,0-1,1.0,1.0,94,checkmate,False
309,94308,white,1/2-1/2,0.0,0.5,189,threefold_repetition,False
310,94309,black,1/2-1/2,0.0,0.5,81,threefold_repetition,False
311,94310,white,1/2-1/2,0.0,0.5,88,threefold_repetition,False
312,94311,black,1-0,-1.0,0.0,23,checkmate,False
313,94312,white,1/2-1/2,0.0,0.5,148,threefold_repetition,False
314,94313,black,0-1,1.0,1.0,26,checkmate,False
315,94314,white,1/2-1/2,0.0,0.5,144,threefold_repetition,False
316,94315,black,0-1,1.0,1.0,54,checkmate,False
317,94316,white,1-0,1.0,1.0,139,checkmate,False
318,94317,black,1/2-1/2,0.0,0.5,111,threefold_repetition,False
319,94318,white,1-0,1.0,1.0,39,checkmate,False
320,94319,black,1/2-1/2,0.0,0.5,83,threefold_repetition,False
321,94320,white,1/2-1/2,0.0,0.5,139,threefold_repetition,False
322,94321,black,1/2-1/2,0.0,0.5,49,threefold_repetition,False
323,94322,white,1-0,1.0,1.0,41,checkmate,False
324,94323,black,0-1,1.0,1.0,104,checkmate,False
325,94324,white,1/2-1/2,0.0,0.5,144,threefold_repetition,False
326,94325,black,1/2-1/2,0.0,0.5,52,threefold_repetition,False
327,94326,white,1/2-1/2,0.0,0.5,61,threefold_repetition,False
328,94327,black,0-1,1.0,1.0,22,checkmate,False
329,94328,white,0-1,-1.0,0.0,46,checkmate,False
