timestamp,step,phase,episode,result,reward,plies,agent_color,opponent,termination,checkpoint
2026-08-30T17:23:41+00:00,16384,evaluation,99,1-0,1.0,61,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,100,0-1,1.0,72,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16532,train,1,1-0,1.0,73,white,alpha-random,checkmate,
2026-08-30T17:23:41+00:00,16536,train,2,0-1,1.0,76,black,alpha-random,checkmate,
2026-08-30T17:23:41+00:00,16552,train,3,1/2-1/2,0.0,84,white,alpha-random,threefold_repetition,
2026-08-30T17:23:42+00:00,16572,train,4,0-1,1.0,20,black,alpha-random,checkmate,
2026-08-30T17:23:42+00:00,16580,train,5,1-0,1.0,21,white,alpha-random,checkmate,
2026-08-30T17:23:42+00:00,16584,train,6,1/2-1/2,0.0,100,white,alpha-random,max_plies,
2026-08-30T17:23:42+00:00,16656,train,7,0-1,1.0,42,black,alpha-random,checkmate,
2026-08-30T17:23:42+00:00,16752,train,8,1/2-1/2,0.0,100,white,alpha-random,max_plies,
2026-08-30T17:23:42+00:00,16772,train,9,1-0,1.0,95,white,alpha-random,checkmate,
2026-08-30T17:23:42+00:00,16784,train,10,1/2-1/2,0.0,100,black,alpha-random,max_plies,
2026-08-30T17:23:43+00:00,16820,train,11,1/2-1/2,0.0,83,black,alpha-random,threefold_repetition,
2026-08-30T17:23:43+00:00,16952,train,12,1/2-1/2,0.0,100,white,alpha-random,max_plies,
2026-08-30T17:23:43+00:00,16972,train,13,1/2-1/2,0.0,100,white,alpha-random,max_plies,
2026-08-30T17:23:43+00:00,16980,train,14,0-1,1.0,98,black,alpha-random,checkmate,
2026-08-30T17:23:44+00:00,17020,train,15,1/2-1/2,0.0,100,black,alpha-random,max_plies,
2026-08-30T17:23:44+00:00,17152,train,16,1/2-1/2,0.0,100,black,alpha-random,max_plies,
2026-08-30T17:23:44+00:00,17152,train,17,1/2-1/2,0.0,86,black,alpha-random,threefold_repetition,
